namaste_code,namaste_term,namaste_original_script,namaste_transliteration,namaste_english,namaste_description,synonyms,icd11_code,icd11_term,icd11_description,mapping_equivalence,mapping_confidence,source,status
SAT-A.13010,cough,कास,kāsa,cough,Forceful expulsion of air from lungs,tussis|persistent cough,MD12,Cough,Sudden expulsion of air from lungs,narrower,0.85,auto,curated
SAT-A.13011,hiccup,हिक्का,hikkā,hiccup,Involuntary diaphragmatic spasm,hiccough|spasmodic breathing,MD80,Hiccup,Involuntary contraction of diaphragm,equivalent,0.89,seed,curated
SAT-D.13012,common cold,प्रतिश्याय,pratiśyāya,common cold,Viral upper respiratory tract infection,rhinitis|nasal congestion,3A20,Iron deficiency anemia,Lack of iron in blood,broader,0.523,manual,approved
SAT-E.13013,epilepsy,अपस्मार,apasmāra,epilepsy,Recurrent seizures due to abnormal brain activity,seizure disorder|convulsions,8A61,Epilepsy,Recurrent unprovoked seizures,equivalent,0.852,auto,curated
SAT-G.13014,migraine,अर्धावभेदक,ardhāvabhedaka,migraine,Unilateral throbbing headache,hemicrania|sick headache,8A80.1,Migraine without aura,Primary headache disorder,equivalent,0.826,auto,approved
SAT-D.13015,headache,शिरशूल,śiraśūla,headache,Pain in head and neck region,cephalgia|head pain,8A80,Primary headache disorders,Pain located in head or neck,broader,0.619,auto,approved
SAT-H.13016,hemiplegia,पक्षाघात,pakṣāghāta,hemiplegia,Paralysis of one side of body,stroke|cerebral palsy,8B20,Hemiplegia,Paralysis affecting one side,equivalent,0.841,auto,approved
SAT-J.13017,rheumatoid arthritis,आमवात,āmavāta,rheumatoid arthritis,Joint inflammation with morning stiffness,inflammatory arthritis|joint pain,FA20,Rheumatoid arthritis,Chronic inflammatory joint disease,equivalent,0.872,seed,approved
SAT-A.13018,osteoarthritis,सन्धिवात,sandhivāta,osteoarthritis,Degenerative joint disease,joint degeneration|arthritis,1C40,Malaria,Parasitic infection,broader,0.693,auto,proposed
SAT-A.13019,low back pain,कटिशूल,kaṭiśūla,low back pain,Pain in lumbar region,lumbago|backache,6A71,Major depression,Severe depressive episode,broader,0.607,auto,proposed
SAT-A.13020,neck stiffness,ग्रीवास्तम्भ,grīvāstambha,neck stiffness,Restricted neck movement,cervical stiffness|torticollis,ME84.1,Neck pain,Pain or stiffness in neck,related,0.692,auto,proposed
SAT-A.13021,leprosy,कुष्ठ,kuṣṭha,leprosy,Chronic infectious skin disease,hansen disease|skin infection,JA80,Pre-eclampsia,Pregnancy hypertension,narrower,0.689,seed,proposed
SAT-B.13022,eczema,एककुष्ठ,ekakuṣṭha,eczema,Inflammatory skin condition,dermatitis|skin inflammation,EA80,Atopic dermatitis,Chronic inflammatory skin disease,related,0.689,manual,curated
SAT-B.13023,ringworm,दद्रु,dadru,ringworm,Fungal skin infection,tinea|fungal dermatitis,1F28,Dermatophytosis,Superficial fungal infection,equivalent,0.862,manual,curated
SAT-J.13024,wound,व्रण,vraṇa,wound,Break in skin continuity,ulcer|sore,NE70,Open wound,Disruption of skin integrity,broader,0.553,seed,curated
SAT-H.13025,heart disease,हृदरोग,hṛdaroga,heart disease,Cardiac disorders,cardiac disease|heart problems,BA00,Heart diseases,Disorders of the heart,broader,0.748,auto,approved
SAT-B.13026,bleeding disorders,रक्तप्रदर,raktapradara,bleeding disorders,Excessive bleeding tendency,hemorrhage|bleeding,3A10,Bleeding disorders,Impaired hemostasis,related,0.77,seed,proposed
SAT-J.13027,hypertension,उच्चरक्तचाप,uccaraktacāpa,hypertension,Elevated blood pressure,high BP|arterial hypertension,5A40,Thyroid disorders,Thyroid gland dysfunction,broader,0.551,auto,approved
SAT-A.13028,dysuria,मूत्रकृच्छ,mūtrakṛcchra,dysuria,Painful urination,difficult urination|burning micturition,MF50,Dysuria,Painful or difficult urination,equivalent,0.974,auto,curated
SAT-D.13029,urinary retention,मूत्राघात,mūtrāghāta,urinary retention,Inability to empty bladder,retention of urine|anuria,MF52,Retention of urine,Inability to void urine,equivalent,0.899,manual,approved
SAT-G.13030,urinary stones,अश्मरी,aśmarī,urinary stones,Calculi in urinary tract,kidney stones|nephrolithiasis,1B10,Tuberculosis,Mycobacterial infection,broader,0.572,seed,approved
SAT-B.13031,menstrual disorders,रजोदोष,rajodoṣa,menstrual disorders,Irregularities in menstruation,menstrual problems|cycle disorders,GA34,Menstrual disorders,Abnormalities of menstruation,broader,0.807,manual,curated
SAT-I.13032,leucorrhea,प्रदर,pradara,leucorrhea,Excessive vaginal discharge,white discharge|vaginal secretion,GA22,Excessive vaginal discharge,Abnormal vaginal discharge,equivalent,0.78,auto,proposed
SAT-B.13033,miscarriage,गर्भस्राव,garbhasrāva,miscarriage,Spontaneous pregnancy loss,abortion|fetal loss,JA00,Pregnancy with abortive outcome,Termination of pregnancy,broader,0.707,auto,approved
SAT-J.13034,diabetes,प्रमेह,prameha,diabetes,Metabolic disorder with sweet urine,diabetes mellitus|sweet urine,5A10,Type 1 diabetes mellitus,Metabolic disorder,related,0.665,seed,proposed
SAT-B.13035,obesity,स्थौल्य,sthaulya,obesity,Excessive body weight,overweight|corpulence,5B81,Overweight or obesity,Excess body fat,equivalent,0.862,seed,curated
SAT-C.13036,underweight,कृश,kṛśa,underweight,Below normal body weight,emaciation|thinness,5B82,Underweight,Below normal weight,equivalent,0.811,manual,curated
SAT-B.13037,psychosis,उन्माद,unmāda,psychosis,Mental disorder with loss of reality,insanity|mental derangement,6A20,Schizophrenia,Psychotic disorder,related,0.631,auto,proposed
SAT-C.13038,amnesia,अपस्मृति,apasmṛti,amnesia,Loss of memory,memory loss|forgetfulness,2A60,Lung cancer,Malignant lung neoplasm,broader,0.638,seed,proposed
SAT-C.13039,anxiety,चित्तोद्वेग,cittodvega,anxiety,Mental restlessness and worry,nervousness|mental agitation,6B00,Anxiety disorders,Excessive fear or anxiety,broader,0.752,manual,curated
SID-5.1.40,rheumatism,வாதம்,vātam,rheumatism,Joint and muscle pain disorder,rheumatic pain|joint disorders,FA20,Rheumatoid arthritis,Inflammatory joint disease,related,0.636,auto,proposed
SID-3.8.41,biliary disorders,பித்தம்,pittam,biliary disorders,Liver and gallbladder related conditions,bile disorders|hepatic problems,DA90,Liver disorders,Hepatic dysfunction,broader,0.716,manual,curated
SID-7.1.42,respiratory congestion,கபம்,kapam,respiratory congestion,Phlegm related respiratory issues,mucus disorders|catarrh,EA85,Psoriasis,Chronic skin inflammation,broader,0.438,auto,proposed
SID-1.5.43,abdominal tumors,குன்மம்,kunmam,abdominal tumors,Growth in abdominal cavity,gastric mass|abdominal swelling,DA94,Inflammatory bowel disease,Chronic intestinal inflammation,broader,0.346,auto,proposed
SID-3.6.44,lymph node enlargement,கிரந்தி,kiranthi,lymph node enlargement,Swollen lymph glands,lymphadenopathy|glandular swelling,4A01,Lymphadenopathy,Enlarged lymph nodes,equivalent,0.786,auto,approved
UNA-1.3.45,bilious temperament,صفرا,ṣafrā,bilious temperament,Excess of yellow bile humor,choleric humor|hot temperament,ME0Y,Biliary disorders,Bile-related conditions,related,0.612,auto,proposed
UNA-2.8.46,phlegmatic temperament,بلغم,balgham,phlegmatic temperament,Excess of phlegm humor,cold humid temperament|mucus,CA2Y,Respiratory mucus disorders,Excessive mucus production,related,0.61,auto,approved
UNA-8.1.47,sanguine temperament,دم,dam,sanguine temperament,Blood-related disorders,blood humor|circulation,3A1Y,Blood disorders,Hematological conditions,broader,0.468,seed,proposed
UNA-8.8.48,melancholic temperament,سودا,sawdā,melancholic temperament,Black bile excess,melancholic humor|depression,6A70,Mood disorders,Depressive conditions,related,0.374,manual,proposed
UNA-7.8.49,fevers,حمیات,ḥumayāt,fevers,Pyretic conditions,fever disorders|pyrexia,1G00,Fever,Elevated body temperature,broader,0.742,auto,curated
SAT-C.13050,indigestion,अजीर्ण,ajīrṇa,indigestion,Impaired digestion due to weakened digestive fire (agni),dyspepsia|poor digestion,8A25,Gastritis,Inflammation of the gastric mucosa,equivalent,0.856,manual,curated
SAT-G.13051,diarrhea,अतिसार,atisāra,diarrhea,Excessive loose bowel movements with increased frequency,loose motions|frequent stools,GC08,Chronic kidney disease,Progressive kidney failure,equivalent,0.659,manual,proposed
SAT-J.13052,malabsorption syndrome,ग्रहणी,grahaṇī,malabsorption syndrome,Disorder of small intestine affecting absorption,sprue|absorption disorder,8A44,Malabsorption syndromes,Impaired absorption of nutrients,equivalent,0.899,auto,curated
SAT-J.13053,hemorrhoids,अर्श,arśa,hemorrhoids,Swollen blood vessels in anal canal,piles|anal varices,CA40,Chronic obstructive pulmonary disease,COPD,narrower,0.632,manual,proposed
SAT-E.13054,asthma,श्वास,śvāsa,asthma,Difficulty in breathing with wheeze,breathing difficulty|dyspnea,FA02,Juvenile arthritis,Childhood joint inflammation,broader,0.565,manual,curated
SAT-C.13055,cough,कास,kāsa,cough,Forceful expulsion of air from lungs,tussis|persistent cough,1B10,Tuberculosis,Mycobacterial infection,broader,0.629,manual,curated
SAT-A.13056,hiccup,हिक्का,hikkā,hiccup,Involuntary diaphragmatic spasm,hiccough|spasmodic breathing,MD80,Hiccup,Involuntary contraction of diaphragm,equivalent,0.776,auto,proposed
SAT-I.13057,common cold,प्रतिश्याय,pratiśyāya,common cold,Viral upper respiratory tract infection,rhinitis|nasal congestion,CA08,Acute upper respiratory infections,Viral infection of upper airways,broader,0.679,manual,curated
SAT-G.13058,epilepsy,अपस्मार,apasmāra,epilepsy,Recurrent seizures due to abnormal brain activity,seizure disorder|convulsions,8A61,Epilepsy,Recurrent unprovoked seizures,equivalent,0.971,auto,curated
SAT-A.13059,migraine,अर्धावभेदक,ardhāvabhedaka,migraine,Unilateral throbbing headache,hemicrania|sick headache,5A40,Thyroid disorders,Thyroid gland dysfunction,related,0.605,auto,curated
SAT-F.13060,headache,शिरशूल,śiraśūla,headache,Pain in head and neck region,cephalgia|head pain,3A20,Iron deficiency anemia,Lack of iron in blood,broader,0.468,auto,proposed
SAT-H.13061,hemiplegia,पक्षाघात,pakṣāghāta,hemiplegia,Paralysis of one side of body,stroke|cerebral palsy,8B20,Hemiplegia,Paralysis affecting one side,equivalent,0.93,auto,curated
SAT-A.13062,rheumatoid arthritis,आमवात,āmavāta,rheumatoid arthritis,Joint inflammation with morning stiffness,inflammatory arthritis|joint pain,FA20,Rheumatoid arthritis,Chronic inflammatory joint disease,equivalent,0.726,seed,approved
SAT-I.13063,osteoarthritis,सन्धिवात,sandhivāta,osteoarthritis,Degenerative joint disease,joint degeneration|arthritis,FA00,Osteoarthritis,Degenerative joint disease,equivalent,0.956,seed,curated
SAT-C.13064,low back pain,कटिशूल,kaṭiśūla,low back pain,Pain in lumbar region,lumbago|backache,EB90,Urticaria,Allergic skin reaction,broader,0.596,manual,proposed
SAT-B.13065,neck stiffness,ग्रीवास्तम्भ,grīvāstambha,neck stiffness,Restricted neck movement,cervical stiffness|torticollis,ME84.1,Neck pain,Pain or stiffness in neck,related,0.665,manual,proposed
SAT-D.13066,leprosy,कुष्ठ,kuṣṭha,leprosy,Chronic infectious skin disease,hansen disease|skin infection,JA63,Gestational diabetes,Pregnancy diabetes,broader,0.61,manual,proposed
SAT-B.13067,eczema,एककुष्ठ,ekakuṣṭha,eczema,Inflammatory skin condition,dermatitis|skin inflammation,EA80,Atopic dermatitis,Chronic inflammatory skin disease,broader,0.692,auto,proposed
SAT-A.13068,ringworm,दद्रु,dadru,ringworm,Fungal skin infection,tinea|fungal dermatitis,GC08,Chronic kidney disease,Progressive kidney failure,narrower,0.624,auto,proposed
SAT-C.13069,wound,व्रण,vraṇa,wound,Break in skin continuity,ulcer|sore,NE70,Open wound,Disruption of skin integrity,broader,0.553,manual,curated
SAT-I.13070,heart disease,हृदरोग,hṛdaroga,heart disease,Cardiac disorders,cardiac disease|heart problems,BA00,Heart diseases,Disorders of the heart,broader,0.701,seed,approved
SAT-D.13071,bleeding disorders,रक्तप्रदर,raktapradara,bleeding disorders,Excessive bleeding tendency,hemorrhage|bleeding,3A10,Bleeding disorders,Impaired hemostasis,related,0.614,seed,proposed
SAT-A.13072,hypertension,उच्चरक्तचाप,uccaraktacāpa,hypertension,Elevated blood pressure,high BP|arterial hypertension,BA00,Hypertensive diseases,Elevated arterial pressure,unmapped,0,auto,proposed
SAT-B.13073,dysuria,मूत्रकृच्छ,mūtrakṛcchra,dysuria,Painful urination,difficult urination|burning micturition,DA61,Peptic ulcer,Stomach or duodenal ulcer,broader,0.632,manual,approved
SAT-D.13074,urinary retention,मूत्राघात,mūtrāghāta,urinary retention,Inability to empty bladder,retention of urine|anuria,5A11,Type 2 diabetes,Non-insulin dependent diabetes,narrower,0.591,auto,curated
SAT-E.13075,urinary stones,अश्मरी,aśmarī,urinary stones,Calculi in urinary tract,kidney stones|nephrolithiasis,GC80,Urolithiasis,Formation of stones in urinary tract,equivalent,0.929,seed,approved
SAT-F.13076,menstrual disorders,रजोदोष,rajodoṣa,menstrual disorders,Irregularities in menstruation,menstrual problems|cycle disorders,GA34,Menstrual disorders,Abnormalities of menstruation,broader,0.694,auto,approved
SAT-I.13077,leucorrhea,प्रदर,pradara,leucorrhea,Excessive vaginal discharge,white discharge|vaginal secretion,6A71,Major depression,Severe depressive episode,related,0.533,seed,approved
SAT-B.13078,miscarriage,गर्भस्राव,garbhasrāva,miscarriage,Spontaneous pregnancy loss,abortion|fetal loss,8A62,Parkinson disease,Progressive neurological disorder,equivalent,0.519,auto,approved
SAT-B.13079,diabetes,प्रमेह,prameha,diabetes,Metabolic disorder with sweet urine,diabetes mellitus|sweet urine,5A10,Type 1 diabetes mellitus,Metabolic disorder,related,0.675,manual,approved
SAT-A.13080,obesity,स्थौल्य,sthaulya,obesity,Excessive body weight,overweight|corpulence,6A60,Bipolar disorder,Mood cycling disorder,narrower,0.584,auto,curated
SAT-I.13081,underweight,कृश,kṛśa,underweight,Below normal body weight,emaciation|thinness,5B82,Underweight,Below normal weight,broader,0.834,auto,curated
SAT-C.13082,psychosis,उन्माद,unmāda,psychosis,Mental disorder with loss of reality,insanity|mental derangement,GA11,Endometriosis,Uterine tissue displacement,related,0.481,auto,proposed
SAT-H.13083,amnesia,अपस्मृति,apasmṛti,amnesia,Loss of memory,memory loss|forgetfulness,6D72,Amnesia,Loss of memory function,equivalent,0.877,auto,approved
SAT-C.13084,anxiety,चित्तोद्वेग,cittodvega,anxiety,Mental restlessness and worry,nervousness|mental agitation,BA11,Acute myocardial infarction,Heart attack,narrower,0.513,manual,proposed
SID-8.1.85,rheumatism,வாதம்,vātam,rheumatism,Joint and muscle pain disorder,rheumatic pain|joint disorders,1B10,Tuberculosis,Mycobacterial infection,related,0.421,seed,proposed
SID-5.1.86,biliary disorders,பித்தம்,pittam,biliary disorders,Liver and gallbladder related conditions,bile disorders|hepatic problems,1B10,Tuberculosis,Mycobacterial infection,broader,0.433,seed,proposed
SID-8.4.87,respiratory congestion,கபம்,kapam,respiratory congestion,Phlegm related respiratory issues,mucus disorders|catarrh,CA25,Chronic respiratory diseases,Long-term airway problems,related,0.678,auto,curated
SID-4.2.88,abdominal tumors,குன்மம்,kunmam,abdominal tumors,Growth in abdominal cavity,gastric mass|abdominal swelling,1B10,Tuberculosis,Mycobacterial infection,narrower,0.358,manual,proposed
SID-1.9.89,lymph node enlargement,கிரந்தி,kiranthi,lymph node enlargement,Swollen lymph glands,lymphadenopathy|glandular swelling,4A01,Lymphadenopathy,Enlarged lymph nodes,equivalent,0.945,seed,approved
UNA-10.3.90,bilious temperament,صفرا,ṣafrā,bilious temperament,Excess of yellow bile humor,choleric humor|hot temperament,ME0Y,Biliary disorders,Bile-related conditions,related,0.539,auto,approved
UNA-1.9.91,phlegmatic temperament,بلغم,balgham,phlegmatic temperament,Excess of phlegm humor,cold humid temperament|mucus,CA2Y,Respiratory mucus disorders,Excessive mucus production,unmapped,0,seed,proposed
UNA-10.2.92,sanguine temperament,دم,dam,sanguine temperament,Blood-related disorders,blood humor|circulation,3A1Y,Blood disorders,Hematological conditions,broader,0.401,auto,proposed
UNA-11.7.93,melancholic temperament,سودا,sawdā,melancholic temperament,Black bile excess,melancholic humor|depression,6A70,Mood disorders,Depressive conditions,broader,0.432,seed,proposed
UNA-11.1.94,fevers,حمیات,ḥumayāt,fevers,Pyretic conditions,fever disorders|pyrexia,FB52,Osteoporosis,Bone density loss,broader,0.589,manual,approved
SAT-H.13095,indigestion,अजीर्ण,ajīrṇa,indigestion,Impaired digestion due to weakened digestive fire (agni),dyspepsia|poor digestion,8A25,Gastritis,Inflammation of the gastric mucosa,equivalent,0.823,manual,approved
SAT-F.13096,diarrhea,अतिसार,atisāra,diarrhea,Excessive loose bowel movements with increased frequency,loose motions|frequent stools,ME05,Diarrhoea,Passage of loose or liquid stools,equivalent,0.899,manual,curated
SAT-D.13097,malabsorption syndrome,ग्रहणी,grahaṇī,malabsorption syndrome,Disorder of small intestine affecting absorption,sprue|absorption disorder,8A62,Parkinson disease,Progressive neurological disorder,related,0.501,manual,curated
SAT-E.13098,hemorrhoids,अर्श,arśa,hemorrhoids,Swollen blood vessels in anal canal,piles|anal varices,9B71,Haemorrhoids,Swollen veins in the anal canal,equivalent,1,seed,curated
SAT-I.13099,asthma,श्वास,śvāsa,asthma,Difficulty in breathing with wheeze,breathing difficulty|dyspnea,CA23,Asthma,Chronic inflammatory airway disease,equivalent,0.967,seed,curated
SAT-H.13100,cough,कास,kāsa,cough,Forceful expulsion of air from lungs,tussis|persistent cough,2A70,Breast cancer,Malignant breast neoplasm,broader,0.622,auto,proposed
SAT-G.13101,hiccup,हिक्का,hikkā,hiccup,Involuntary diaphragmatic spasm,hiccough|spasmodic breathing,MD80,Hiccup,Involuntary contraction of diaphragm,equivalent,0.926,auto,curated
SAT-B.13102,common cold,प्रतिश्याय,pratiśyāya,common cold,Viral upper respiratory tract infection,rhinitis|nasal congestion,CA08,Acute upper respiratory infections,Viral infection of upper airways,broader,0.721,manual,curated
SAT-D.13103,epilepsy,अपस्मार,apasmāra,epilepsy,Recurrent seizures due to abnormal brain activity,seizure disorder|convulsions,8B11,Alzheimer disease,Progressive dementia,related,0.65,auto,curated
SAT-C.13104,migraine,अर्धावभेदक,ardhāvabhedaka,migraine,Unilateral throbbing headache,hemicrania|sick headache,1B10,Tuberculosis,Mycobacterial infection,broader,0.662,auto,approved
SAT-E.13105,headache,शिरशूल,śiraśūla,headache,Pain in head and neck region,cephalgia|head pain,8A80,Primary headache disorders,Pain located in head or neck,broader,0.727,auto,approved
SAT-H.13106,hemiplegia,पक्षाघात,pakṣāghāta,hemiplegia,Paralysis of one side of body,stroke|cerebral palsy,8.00E+40,Peripheral neuropathy,Nerve damage,narrower,0.642,seed,proposed
SAT-F.13107,rheumatoid arthritis,आमवात,āmavāta,rheumatoid arthritis,Joint inflammation with morning stiffness,inflammatory arthritis|joint pain,FA20,Rheumatoid arthritis,Chronic inflammatory joint disease,equivalent,0.885,auto,approved
SAT-I.13108,osteoarthritis,सन्धिवात,sandhivāta,osteoarthritis,Degenerative joint disease,joint degeneration|arthritis,GC08,Chronic kidney disease,Progressive kidney failure,related,0.67,manual,proposed
SAT-G.13109,low back pain,कटिशूल,kaṭiśūla,low back pain,Pain in lumbar region,lumbago|backache,ME84.2,Low back pain,Pain in lower back region,equivalent,0.805,manual,curated
SAT-G.13110,neck stiffness,ग्रीवास्तम्भ,grīvāstambha,neck stiffness,Restricted neck movement,cervical stiffness|torticollis,ME84.1,Neck pain,Pain or stiffness in neck,narrower,0.783,manual,approved
SAT-B.13111,leprosy,कुष्ठ,kuṣṭha,leprosy,Chronic infectious skin disease,hansen disease|skin infection,5A11,Type 2 diabetes,Non-insulin dependent diabetes,related,0.651,manual,proposed
SAT-I.13112,eczema,एककुष्ठ,ekakuṣṭha,eczema,Inflammatory skin condition,dermatitis|skin inflammation,EA80,Atopic dermatitis,Chronic inflammatory skin disease,related,0.628,auto,approved
SAT-G.13113,ringworm,दद्रु,dadru,ringworm,Fungal skin infection,tinea|fungal dermatitis,1D00,HIV disease,Human immunodeficiency virus,narrower,0.608,manual,proposed
SAT-G.13114,wound,व्रण,vraṇa,wound,Break in skin continuity,ulcer|sore,BA11,Acute myocardial infarction,Heart attack,broader,0.496,seed,proposed
SAT-C.13115,heart disease,हृदरोग,hṛdaroga,heart disease,Cardiac disorders,cardiac disease|heart problems,1C40,Malaria,Parasitic infection,related,0.466,auto,proposed
SAT-C.13116,bleeding disorders,रक्तप्रदर,raktapradara,bleeding disorders,Excessive bleeding tendency,hemorrhage|bleeding,3A10,Bleeding disorders,Impaired hemostasis,related,0.614,manual,proposed
SAT-F.13117,hypertension,उच्चरक्तचाप,uccaraktacāpa,hypertension,Elevated blood pressure,high BP|arterial hypertension,BA00,Hypertensive diseases,Elevated arterial pressure,broader,0.775,auto,approved
SAT-E.13118,dysuria,मूत्रकृच्छ,mūtrakṛcchra,dysuria,Painful urination,difficult urination|burning micturition,MF50,Dysuria,Painful or difficult urination,equivalent,0.841,auto,curated
SAT-J.13119,urinary retention,मूत्राघात,mūtrāghāta,urinary retention,Inability to empty bladder,retention of urine|anuria,MF52,Retention of urine,Inability to void urine,equivalent,0.965,auto,approved
SAT-A.13120,urinary stones,अश्मरी,aśmarī,urinary stones,Calculi in urinary tract,kidney stones|nephrolithiasis,NE80,Burns,Thermal injuries,narrower,0.57,auto,approved
SAT-A.13121,menstrual disorders,रजोदोष,rajodoṣa,menstrual disorders,Irregularities in menstruation,menstrual problems|cycle disorders,GA34,Menstrual disorders,Abnormalities of menstruation,broader,0.769,auto,curated
SAT-J.13122,leucorrhea,प्रदर,pradara,leucorrhea,Excessive vaginal discharge,white discharge|vaginal secretion,GA22,Excessive vaginal discharge,Abnormal vaginal discharge,equivalent,0.859,manual,curated
SAT-A.13123,miscarriage,गर्भस्राव,garbhasrāva,miscarriage,Spontaneous pregnancy loss,abortion|fetal loss,JA00,Pregnancy with abortive outcome,Termination of pregnancy,broader,0.61,manual,proposed
SAT-B.13124,diabetes,प्रमेह,prameha,diabetes,Metabolic disorder with sweet urine,diabetes mellitus|sweet urine,5A10,Type 1 diabetes mellitus,Metabolic disorder,related,0.763,auto,proposed
SAT-I.13125,obesity,स्थौल्य,sthaulya,obesity,Excessive body weight,overweight|corpulence,5B81,Overweight or obesity,Excess body fat,equivalent,0.827,auto,approved
SAT-H.13126,underweight,कृश,kṛśa,underweight,Below normal body weight,emaciation|thinness,5B82,Underweight,Below normal weight,equivalent,0.942,auto,approved
SAT-E.13127,psychosis,उन्माद,unmāda,psychosis,Mental disorder with loss of reality,insanity|mental derangement,6A20,Schizophrenia,Psychotic disorder,related,0.663,auto,proposed
SAT-I.13128,amnesia,अपस्मृति,apasmṛti,amnesia,Loss of memory,memory loss|forgetfulness,6D72,Amnesia,Loss of memory function,equivalent,0.826,auto,curated
SAT-G.13129,anxiety,चित्तोद्वेग,cittodvega,anxiety,Mental restlessness and worry,nervousness|mental agitation,1B10,Tuberculosis,Mycobacterial infection,broader,0.464,auto,proposed
SID-8.5.30,rheumatism,வாதம்,vātam,rheumatism,Joint and muscle pain disorder,rheumatic pain|joint disorders,FA20,Rheumatoid arthritis,Inflammatory joint disease,related,0.728,auto,curated
SID-9.2.31,biliary disorders,பித்தம்,pittam,biliary disorders,Liver and gallbladder related conditions,bile disorders|hepatic problems,DA90,Liver disorders,Hepatic dysfunction,broader,0.654,seed,proposed
SID-3.9.32,respiratory congestion,கபம்,kapam,respiratory congestion,Phlegm related respiratory issues,mucus disorders|catarrh,3A20,Iron deficiency anemia,Lack of iron in blood,related,0.382,manual,proposed
SID-2.9.33,abdominal tumors,குன்மம்,kunmam,abdominal tumors,Growth in abdominal cavity,gastric mass|abdominal swelling,1C40,Malaria,Parasitic infection,related,0.338,manual,proposed
SID-2.1.34,lymph node enlargement,கிரந்தி,kiranthi,lymph node enlargement,Swollen lymph glands,lymphadenopathy|glandular swelling,4A01,Lymphadenopathy,Enlarged lymph nodes,equivalent,0.813,manual,curated
UNA-2.9.35,bilious temperament,صفرا,ṣafrā,bilious temperament,Excess of yellow bile humor,choleric humor|hot temperament,ME0Y,Biliary disorders,Bile-related conditions,related,0.563,auto,curated
UNA-14.8.36,phlegmatic temperament,بلغم,balgham,phlegmatic temperament,Excess of phlegm humor,cold humid temperament|mucus,CA2Y,Respiratory mucus disorders,Excessive mucus production,narrower,0.569,auto,proposed
UNA-5.2.37,sanguine temperament,دم,dam,sanguine temperament,Blood-related disorders,blood humor|circulation,3A1Y,Blood disorders,Hematological conditions,broader,0.483,auto,proposed
UNA-5.6.38,melancholic temperament,سودا,sawdā,melancholic temperament,Black bile excess,melancholic humor|depression,6A70,Mood disorders,Depressive conditions,narrower,0.525,auto,approved
UNA-6.8.39,fevers,حمیات,ḥumayāt,fevers,Pyretic conditions,fever disorders|pyrexia,1G00,Fever,Elevated body temperature,broader,0.696,seed,approved
SAT-H.13140,indigestion,अजीर्ण,ajīrṇa,indigestion,Impaired digestion due to weakened digestive fire (agni),dyspepsia|poor digestion,8A25,Gastritis,Inflammation of the gastric mucosa,equivalent,0.879,manual,curated
SAT-B.13141,diarrhea,अतिसार,atisāra,diarrhea,Excessive loose bowel movements with increased frequency,loose motions|frequent stools,GC08,Chronic kidney disease,Progressive kidney failure,broader,0.579,manual,approved
SAT-G.13142,malabsorption syndrome,ग्रहणी,grahaṇī,malabsorption syndrome,Disorder of small intestine affecting absorption,sprue|absorption disorder,5A40,Thyroid disorders,Thyroid gland dysfunction,narrower,0.573,auto,proposed
SAT-J.13143,hemorrhoids,अर्श,arśa,hemorrhoids,Swollen blood vessels in anal canal,piles|anal varices,BA42,Atrial fibrillation,Irregular heart rhythm,narrower,0.647,manual,proposed
SAT-E.13144,asthma,श्वास,śvāsa,asthma,Difficulty in breathing with wheeze,breathing difficulty|dyspnea,CA23,Asthma,Chronic inflammatory airway disease,unmapped,0,manual,proposed
SAT-G.13145,cough,कास,kāsa,cough,Forceful expulsion of air from lungs,tussis|persistent cough,MD12,Cough,Sudden expulsion of air from lungs,equivalent,0.928,seed,approved
SAT-A.13146,hiccup,हिक्का,hikkā,hiccup,Involuntary diaphragmatic spasm,hiccough|spasmodic breathing,MD80,Hiccup,Involuntary contraction of diaphragm,equivalent,0.918,manual,approved
SAT-J.13147,common cold,प्रतिश्याय,pratiśyāya,common cold,Viral upper respiratory tract infection,rhinitis|nasal congestion,CA08,Acute upper respiratory infections,Viral infection of upper airways,broader,0.796,seed,approved
SAT-J.13148,epilepsy,अपस्मार,apasmāra,epilepsy,Recurrent seizures due to abnormal brain activity,seizure disorder|convulsions,8A61,Epilepsy,Recurrent unprovoked seizures,equivalent,0.823,seed,approved
SAT-A.13149,migraine,अर्धावभेदक,ardhāvabhedaka,migraine,Unilateral throbbing headache,hemicrania|sick headache,8A80.1,Migraine without aura,Primary headache disorder,broader,0.751,auto,curated
SAT-G.13150,headache,शिरशूल,śiraśūla,headache,Pain in head and neck region,cephalgia|head pain,8A80,Primary headache disorders,Pain located in head or neck,broader,0.69,auto,curated
SAT-F.13151,hemiplegia,पक्षाघात,pakṣāghāta,hemiplegia,Paralysis of one side of body,stroke|cerebral palsy,8B20,Hemiplegia,Paralysis affecting one side,narrower,0.935,manual,curated
SAT-A.13152,rheumatoid arthritis,आमवात,āmavāta,rheumatoid arthritis,Joint inflammation with morning stiffness,inflammatory arthritis|joint pain,2A70,Breast cancer,Malignant breast neoplasm,narrower,0.639,auto,proposed
SAT-C.13153,osteoarthritis,सन्धिवात,sandhivāta,osteoarthritis,Degenerative joint disease,joint degeneration|arthritis,FA00,Osteoarthritis,Degenerative joint disease,equivalent,0.889,manual,approved
SAT-H.13154,low back pain,कटिशूल,kaṭiśūla,low back pain,Pain in lumbar region,lumbago|backache,EA85,Psoriasis,Chronic skin inflammation,broader,0.604,manual,proposed
